@relation chunks

@attribute velocidade_maxima numeric
@attribute aceleracao_maxima numeric
@attribute mudancas_de_direcao numeric
@attribute modo_de_transporte {CARRO,MOTO,ONIBUS}

@data
9.96643,5.769039,26, ONIBUS
10.601535,2.985563,12, ONIBUS
9.746998,5.253544,11, ONIBUS
18.585464,4.901844,16, ONIBUS
14.0063095,2.6404872,22, ONIBUS
16.647234,2.7642813,16, ONIBUS
18.826118,2.6389885,20, ONIBUS
14.689133,3.9646802,18, ONIBUS
12.261376,3.9540026,11, ONIBUS
10.836378,4.2293425,27, ONIBUS
11.705418,2.3752556,16, ONIBUS
12.211198,5.457774,22, ONIBUS
13.114676,0.9910574,5, ONIBUS
18.660475,17.229607,9, ONIBUS
21.817656,1.0331688,15, ONIBUS
23.407646,5.990615,8, ONIBUS
20.807735,2.2787275,14, ONIBUS
9.54145,7.257455,28, ONIBUS
23.451334,2.9726305,26, ONIBUS
18.50889,2.1109076,22, ONIBUS
13.525305,4.7892847,17, ONIBUS
15.0122595,5.161264,24, ONIBUS
16.636282,2.1563015,24, ONIBUS
9.502138,8.315669,20, ONIBUS
18.494097,6.178317,20, ONIBUS
20.581709,4.650366,10, ONIBUS
19.822454,4.0177217,18, ONIBUS
16.710003,3.7120705,24, ONIBUS
11.846397,5.1313896,31, ONIBUS
11.730746,1.6647763,26, ONIBUS
13.40052,2.7395363,22, ONIBUS
12.299948,2.7515955,26, ONIBUS
10.040842,2.85801,25, ONIBUS
8.494112,2.2248669,20, ONIBUS
10.313109,2.9392128,29, ONIBUS
10.140831,1.5880655,17, ONIBUS
14.082933,3.541376,24, ONIBUS
10.427752,8.462301,28, ONIBUS
12.422386,2.567297,6, ONIBUS
8.928328,2.8356402,19, ONIBUS
12.358507,6.830781,16, ONIBUS
11.054067,2.5274878,18, ONIBUS
11.556113,2.2195647,22, ONIBUS
7.59558,4.401881,30, ONIBUS
8.000505,2.5018046,26, ONIBUS
