@relation chunks

@attribute velocidade_maxima numeric
@attribute aceleracao_maxima numeric
@attribute mudancas_de_direcao numeric
@attribute modo_de_transporte {CAMINHANDO,BICICLETA,CARRO,MOTO,ONIBUS}

@data
9.96643,5.769039,26, ONIBUS
10.601535,2.985563,12, ONIBUS
9.746998,5.253544,11, ONIBUS
18.585464,4.901844,16, ONIBUS
14.0063095,2.6404872,22, ONIBUS
16.647234,2.7642813,16, ONIBUS
18.826118,2.6389885,20, ONIBUS
14.689133,3.9646802,18, ONIBUS
12.261376,3.9540026,11, ONIBUS
10.836378,4.2293425,27, ONIBUS
11.705418,2.3752556,16, ONIBUS
12.211198,5.457774,22, ONIBUS
13.114676,0.9910574,5, ONIBUS
18.660475,17.229607,9, ONIBUS
21.817656,1.0331688,15, ONIBUS
23.407646,5.990615,8, ONIBUS
20.807735,2.2787275,14, ONIBUS
9.54145,7.257455,28, ONIBUS
23.451334,2.9726305,26, ONIBUS
18.50889,2.1109076,22, ONIBUS
13.525305,4.7892847,17, ONIBUS
15.0122595,5.161264,24, ONIBUS
16.636282,2.1563015,24, ONIBUS
9.502138,8.315669,20, ONIBUS
18.494097,6.178317,20, ONIBUS
20.581709,4.650366,10, ONIBUS
19.822454,4.0177217,18, ONIBUS
16.710003,3.7120705,24, ONIBUS
11.846397,5.1313896,31, ONIBUS
11.730746,1.6647763,26, ONIBUS
7.211209,7.211209,28, CAMINHANDO
5.5518956,4.846839,44, CAMINHANDO
4.438823,3.1249144,43, CAMINHANDO
4.170791,2.22951,48, CAMINHANDO
4.473339,1.9887453,42, CAMINHANDO
3.1708164,3.1708164,33, CAMINHANDO
2.572644,0.8928565,35, CAMINHANDO
2.3081152,0.41470957,28, CAMINHANDO
2.0889525,0.45504427,18, CAMINHANDO
2.902509,0.7726523,40, CAMINHANDO
13.40052,2.7395363,22, ONIBUS
12.299948,2.7515955,26, ONIBUS
10.040842,2.85801,25, ONIBUS
8.494112,2.2248669,20, ONIBUS
10.313109,2.9392128,29, ONIBUS
10.140831,1.5880655,17, ONIBUS
14.082933,3.541376,24, ONIBUS
10.427752,8.462301,28, ONIBUS
12.422386,2.567297,6, ONIBUS
8.928328,2.8356402,19, ONIBUS
12.358507,6.830781,16, ONIBUS
11.054067,2.5274878,18, ONIBUS
11.556113,2.2195647,22, ONIBUS
7.59558,4.401881,30, ONIBUS
8.000505,2.5018046,26, ONIBUS
6.528449,4.8626866,30, CAMINHANDO
5.0649667,5.0649667,25, CAMINHANDO
2.9654105,0.79188514,35, CAMINHANDO
2.2540932,1.3489186,42, CAMINHANDO
2.3230724,0.98391414,31, CAMINHANDO
2.7029812,1.0393085,18, CAMINHANDO
3.4593318,0.8258436,42, CAMINHANDO
1.9572582,1.0685157,36, CAMINHANDO
2.5853019,0.96144724,40, CAMINHANDO
1.714168,0.5357318,32, CAMINHANDO
4.9902563,3.9541392,32, BICICLETA
4.986902,1.9801395,37, BICICLETA
5.6398897,1.0862656,21, BICICLETA
5.8491354,1.2297027,31, BICICLETA
4.891,1.2621193,35, BICICLETA
3.9297223,1.6758226,39, BICICLETA
6.2089834,2.2191408,30, BICICLETA
6.4388885,5.8297734,4, BICICLETA
4.547035,3.421208,38, BICICLETA
5.43162,2.8019438,40, BICICLETA
5.111982,1.0422962,38, BICICLETA
4.1902885,2.1570482,46, BICICLETA
12.889786,9.831289,35, BICICLETA
6.562398,1.7138844,45, BICICLETA
12.813365,9.694226,44, BICICLETA
8.9500675,1.6186947,36, BICICLETA
7.233306,1.4937634,37, BICICLETA
7.7571387,5.8751383,39, BICICLETA
5.3063293,3.6555688,36, BICICLETA
5.5680876,4.9588194,30, BICICLETA
3.0915534,3.0408025,24, BICICLETA
