"cd_pause","cd_trajectory","start_time","start_long","start_lat","end_time","end_long","end_lat","duration"
1,1,"2012-11-03 11:47:42",-43.183437,-22.951035,"2012-11-03 11:50:12",-43.183411,-22.951099,2.5
2,1,"2012-11-03 11:50:29",-43.183441,-22.951056,"2012-11-03 11:52:18",-43.183437,-22.951061,1.81666666666667
1,2,"2012-11-05 18:17:30",-43.220459,-22.963936,"2012-11-05 18:28:15",-43.220531,-22.963978,10.75
1,3,"2012-11-06 12:59:37",-43.218628,-22.903593,"2012-11-06 13:01:31",-43.218609,-22.903566,1.9
2,3,"2012-11-06 13:03:54",-43.218628,-22.903587,"2012-11-06 13:06:31",-43.218643,-22.903603,2.61666666666667
3,3,"2012-11-06 13:08:59",-43.218632,-22.903589,"2012-11-06 13:13:13",-43.218643,-22.903603,4.23333333333333
4,3,"2012-11-06 13:13:53",-43.218636,-22.903593,"2012-11-06 13:16:56",-43.218632,-22.903589,3.05
1,13,"2012-12-01 10:59:48",-43.085999,-22.916122,"2012-12-01 11:01:51",-43.085999,-22.916119,2.05
2,13,"2012-12-01 11:22:22",-43.090656,-22.920179,"2012-12-01 11:24:58",-43.090656,-22.920183,2.6
3,13,"2012-12-01 12:09:46",-43.220657,-22.963896,"2012-12-01 12:11:24",-43.220619,-22.963831,1.63333333333333
4,13,"2012-12-01 12:11:31",-43.220482,-22.964001,"2012-12-01 12:18:06",-43.220478,-22.96401,6.58333333333333
1,18,"2012-10-25 20:32:52",-43.12542,-22.893127,"2012-10-25 20:34:35",-43.12542,-22.893127,1.71666666666667
2,18,"2012-10-25 21:25:31",-43.038223,-22.898958,"2012-10-25 21:28:51",-43.038223,-22.898958,3.33333333333333
3,18,"2012-10-25 21:28:53",-43.038216,-22.898947,"2012-10-25 21:48:52",-43.038147,-22.898417,19.9833333333333
1,20,"2012-10-31 10:59:04",-43.173298,-22.911612,"2012-10-31 11:02:37",-43.173683,-22.910515,3.55
2,20,"2012-10-31 11:07:40",-43.173714,-22.910488,"2012-10-31 11:12:55",-43.173702,-22.910452,5.25
3,20,"2012-10-31 11:14:45",-43.173721,-22.910484,"2012-10-31 11:21:45",-43.173702,-22.910486,7
4,20,"2012-10-31 11:23:35",-43.173698,-22.91046,"2012-10-31 11:26:10",-43.173698,-22.910458,2.58333333333333
5,20,"2012-10-31 11:33:50",-43.173706,-22.910463,"2012-10-31 11:35:38",-43.173698,-22.91045,1.8
6,20,"2012-10-31 11:36:56",-43.173702,-22.91044,"2012-10-31 11:38:32",-43.173702,-22.910446,1.6
7,20,"2012-10-31 11:41:02",-43.173717,-22.910503,"2012-10-31 11:43:43",-43.173698,-22.910454,2.68333333333333
8,20,"2012-10-31 11:47:07",-43.17371,-22.91048,"2012-10-31 11:50:24",-43.173695,-22.910479,3.28333333333333
9,20,"2012-10-31 11:55:32",-43.173664,-22.910465,"2012-10-31 11:57:48",-43.173695,-22.910446,2.26666666666667
10,20,"2012-10-31 12:05:42",-43.17371,-22.910433,"2012-10-31 12:07:51",-43.17371,-22.910387,2.15
11,20,"2012-10-31 12:12:13",-43.173702,-22.910418,"2012-10-31 12:13:56",-43.173702,-22.910446,1.71666666666667
12,20,"2012-10-31 12:15:09",-43.173721,-22.910486,"2012-10-31 12:25:16",-43.173695,-22.910452,10.1166666666667
13,20,"2012-10-31 12:25:19",-43.173706,-22.910473,"2012-10-31 12:26:49",-43.173698,-22.91046,1.5
14,20,"2012-10-31 12:26:56",-43.173687,-22.910513,"2012-10-31 12:29:09",-43.173676,-22.910465,2.21666666666667
15,20,"2012-10-31 12:32:44",-43.173691,-22.910473,"2012-10-31 12:35:12",-43.173695,-22.910435,2.46666666666667
16,20,"2012-10-31 12:36:15",-43.173698,-22.910467,"2012-10-31 12:41:34",-43.173698,-22.910454,5.31666666666667
17,20,"2012-10-31 12:49:33",-43.173691,-22.910452,"2012-10-31 12:51:06",-43.173691,-22.91048,1.55
18,20,"2012-10-31 12:53:49",-43.173695,-22.910467,"2012-10-31 12:59:54",-43.173691,-22.910496,6.08333333333333
19,20,"2012-10-31 12:59:55",-43.173691,-22.910505,"2012-10-31 13:01:44",-43.173702,-22.91048,1.81666666666667
20,20,"2012-10-31 13:05:11",-43.173695,-22.910496,"2012-10-31 13:07:11",-43.173695,-22.910448,2
21,20,"2012-10-31 13:08:48",-43.173698,-22.910416,"2012-10-31 13:10:50",-43.173695,-22.91041,2.03333333333333
22,20,"2012-10-31 13:10:57",-43.173721,-22.910456,"2012-10-31 13:14:42",-43.173714,-22.910437,3.75
23,20,"2012-10-31 13:15:14",-43.173676,-22.910456,"2012-10-31 13:18:37",-43.173687,-22.910383,3.38333333333333
24,20,"2012-10-31 13:33:30",-43.173668,-22.910646,"2012-10-31 13:35:19",-43.173687,-22.910608,1.81666666666667
1,21,"2012-10-31 14:22:36",-43.175362,-22.906269,"2012-10-31 14:35:18",-43.175697,-22.90646,12.7
2,21,"2012-10-31 14:37:25",-43.17522,-22.906458,"2012-10-31 14:39:48",-43.17519,-22.906464,2.38333333333333
3,21,"2012-10-31 15:05:42",-43.173687,-22.910515,"2012-10-31 15:07:29",-43.173687,-22.910433,1.78333333333333
4,21,"2012-10-31 15:08:06",-43.173687,-22.910435,"2012-10-31 15:10:09",-43.173706,-22.910414,2.05
5,21,"2012-10-31 15:19:14",-43.173782,-22.910339,"2012-10-31 15:37:50",-43.173824,-22.910318,18.6
1,22,"2012-10-31 15:59:44",-43.173702,-22.910393,"2012-10-31 16:01:49",-43.173717,-22.910385,2.08333333333333
2,22,"2012-10-31 16:04:51",-43.173717,-22.910538,"2012-10-31 16:06:46",-43.173695,-22.910503,1.91666666666667
3,22,"2012-10-31 16:06:47",-43.173691,-22.910509,"2012-10-31 16:17:12",-43.173706,-22.910427,10.4166666666667
4,22,"2012-10-31 16:17:15",-43.173714,-22.910412,"2012-10-31 16:18:45",-43.173687,-22.91049,1.5
5,22,"2012-10-31 16:18:48",-43.173714,-22.910475,"2012-10-31 16:30:35",-43.173687,-22.910477,11.7833333333333
6,22,"2012-10-31 16:31:59",-43.173698,-22.91041,"2012-10-31 16:37:01",-43.173691,-22.910381,5.03333333333333
7,22,"2012-10-31 16:44:10",-43.17384,-22.910625,"2012-10-31 16:48:54",-43.173721,-22.910589,4.73333333333333
8,22,"2012-10-31 16:48:56",-43.173779,-22.910574,"2012-10-31 16:50:48",-43.173759,-22.910608,1.86666666666667
9,22,"2012-10-31 16:52:12",-43.173874,-22.91065,"2012-10-31 16:55:23",-43.173752,-22.910606,3.18333333333333
10,22,"2012-10-31 16:55:33",-43.173855,-22.910639,"2012-10-31 16:57:46",-43.173897,-22.910639,2.21666666666667
11,22,"2012-10-31 16:58:55",-43.173748,-22.910557,"2012-10-31 17:01:49",-43.173717,-22.910561,2.9
12,22,"2012-10-31 17:03:12",-43.174011,-22.910728,"2012-10-31 17:05:10",-43.173893,-22.910643,1.96666666666667
13,22,"2012-10-31 17:06:43",-43.173809,-22.910578,"2012-10-31 17:21:37",-43.173805,-22.91065,14.9
14,22,"2012-10-31 17:22:24",-43.173862,-22.910662,"2012-10-31 17:29:19",-43.173759,-22.910614,6.91666666666667
15,22,"2012-10-31 17:29:26",-43.173771,-22.910578,"2012-10-31 17:31:13",-43.173801,-22.910631,1.78333333333333
16,22,"2012-10-31 17:31:23",-43.173866,-22.91065,"2012-10-31 17:33:50",-43.173859,-22.910669,2.45
