mean_speed,max_acceleration,course_changes,modal
3.967611,1.974156,8,car
1.319603,3.281807,4,car
7.144128,1.692535,3,car
10.490562,3.308206,1,car
4.616188,1.674577,6,car
4.734016,2.802345,5,car
5.439838,5.125385,2,car
2.663472,1.736061,0,car
7.679229,1.529528,0,car
2.604635,4.768376,2,car
8.741562,3.987198,13,car
3.312377,4.199239,1,car
3.029733,3.423456,6,car
4.173156,3.383267,12,car
0.204056,0.776875,4,car
2.71137,1.145869,23,car
2.418004,2.065933,5,car
17.251886,0.271006,1,car
10.862074,3.353434,11,car
2.556392,4.317139,15,car
11.857489,3.293765,27,car
17.595291,1.164955,7,car
15.381906,5.998352,11,car
7.955684,0.985998,10,car
2.457152,1.620922,2,car
2.394385,2.158502,4,car
6.773991,2.936588,6,car
4.544341,3.057878,13,car
2.184688,0.787515,1,car
1.90134,0.806107,0,car
3.025885,1.154352,0,car
1.474077,3.164984,0,car
1.787298,1.707841,0,car
1.382278,1.060621,0,car
1.00231,1.445244,2,car
2.063098,0.75626,2,car
1.465593,1.333195,2,car
4.093878,4.568363,11,car
6.61217,1.633347,9,car
4.669826,0.617951,10,car
2.520541,1.942732,0,car
2.314933,1.009456,1,car
3.302026,2.977384,3,car
8.437219,2.175824,2,car
7.780011,3.266826,4,car
5.934166,0.821789,2,car
10.537953,1.953618,7,car
4.824813,2.620761,0,car
16.521839,2.030054,15,car
23.209421,0.654358,3,car
24.84264,1.364851,0,car
25.653975,0.87454,0,car
24.18639,0.947744,4,car
23.878884,1.745377,2,car
22.795094,0.971284,10,car
13.036269,2.160885,6,car
14.873974,2.224932,26,car
17.35227,1.354945,12,car
14.566774,1.328201,4,car
5.009344,1.125252,13,car
1.266597,1.461292,3,car
2.347336,2.213542,7,car
8.871323,2.036026,2,car
1.034109,2.570472,1,car
6.82776,2.898829,8,car
5.616807,2.927983,2,car
8.173679,0.829342,2,car
7.933542,3.178689,22,car
0.149114,0.335219,36,car
0.143754,0.417971,40,car
0.039616,0.509953,11,car
2.072861,4.746141,37,car
13.986086,3.061875,21,car
17.706035,1.413353,14,car
11.93266,2.105664,20,car
12.012984,3.957449,13,car
14.934283,2.425528,26,car
12.636521,2.16737,23,car
8.930306,2.161783,7,car
4.967472,2.163855,6,car
5.089898,3.78378,10,car
9.286928,1.850291,15,car
2.625293,0.883536,31,car
4.269897,4.759958,7,car
6.445461,6.339716,11,car
7.989796,5.570329,9,car
12.382273,1.134607,14,car
14.015905,2.446645,4,car
17.664314,0.840776,4,car
18.227019,1.679918,12,car
21.280773,4.24033,16,car
20.528418,2.281281,8,car
21.442774,1.980491,5,car
21.703983,2.31231,10,car
20.818388,1.409607,9,car
19.586504,2.019556,20,car
20.509093,0.64307,9,car
13.790582,4.681757,12,car
8.44972,4.38226,2,car
7.608643,2.092133,8,car
9.237995,4.858601,24,car
18.815091,1.046038,1,car
21.832263,1.195082,10,car
20.602271,1.081056,10,car
17.781459,1.913307,4,car
21.593452,1.504974,13,car
20.585098,1.990314,6,car
15.899453,0.569227,7,car
4.303507,0.10074,2,car
0.962456,1.772873,2,car
2.05123,1.28651,0,car
3.040237,2.154655,10,car
5.962325,2.240975,10,car
3.938637,2.760193,7,car
6.937978,1.927298,5,car
4.413741,1.355538,5,car
3.329698,2.931856,8,car
6.8406,1.587051,14,car
17.772258,6.71016,3,car
4.825342,2.412275,6,car
10.037817,2.041954,9,car
16.421047,0.871206,20,car
12.439915,2.282008,11,car
17.204868,1.339666,13,car
11.888542,2.413961,12,car
20.161745,1.204211,21,car
23.039385,0.375759,1,car
19.354735,1.371805,5,car
16.527626,6.01675,10,car
11.937994,3.225411,1,car
3.733801,2.924695,3,car
